stars;forks;commits;branches;pull requests all;pull requests open;pull requests closed;contributors;watchers;issues;topics;license name;;
2;1;1;1;2;0;2;1;2;0;mooc;No License;;
1;0;16;1;0;0;0;1;1;0;lecture;No License;;
1;1;20;2;2;0;2;2;1;0;moocs;MIT License;;
1;0;68;1;1;0;1;1;1;0;teaching-materials;No License;;
0;0;26;1;0;0;0;1;0;0;moocs;No License;;
1;1;25;1;0;0;0;2;1;0;workshop-materials;No License;;
0;0;43;1;0;0;0;1;0;0;educational-materials;No License;;
15;2;15;2;0;0;0;1;15;0;teaching-materials;No License;;
6;0;187;1;8;0;8;3;6;0;educational-materials;MIT License;;
0;0;26;1;0;0;0;1;0;0;workshop-materials;No License;;
30;10;106;5;11;0;11;9;30;14;mooc;Other;No License description;
0;4;47;12;16;2;14;1;0;12;educational-materials;MIT License;;
0;0;17;1;0;0;0;1;0;0;educational-materials workshop-materials;No License;;
3;0;1;1;4;0;4;1;3;0;course-materials;Other;No License description;
0;0;4;1;0;0;0;1;0;0;course-materials;No License;;
5;0;20;1;0;0;0;1;5;0;course-materials;MIT License;;
0;0;76;1;2;0;2;1;0;0;educational-resources;MIT License;;
14;13;48;3;3;0;3;4;14;0;teaching-materials;No License;;
3;4;76;1;1;0;1;2;3;0;teaching-materials;MIT License;;
7;4;16;1;0;0;0;5;7;3;open-educational-resources;Creative Commons Zero v1.0 Universal;;
16;17;31;3;4;4;0;1;16;4;mooc moocs;No License;;
3;3;37;2;1;0;1;3;3;0;educational-materials;Mozilla Public License 2.0;;
0;1;7;1;0;0;0;1;0;0;course-materials;No License;;
1;0;3;1;0;0;0;1;1;0;workshop-materials;No License;;
5;0;220;1;0;0;0;1;5;0;self-learning;No License;;
0;2;23;1;0;0;0;1;0;0;oer open-education-resources;No License;;
1;0;6;1;0;0;0;1;1;0;course-materials;No License;;
11;5;36;1;0;0;0;1;11;0;course-materials;No License;;
5;6;10;1;0;0;0;1;5;0;course-materials;MIT License;;
1;0;13;1;0;0;0;1;1;0;presentation-slides;MIT License;;
6;6;18;1;9;0;9;2;6;0;mooc moocs;No License;;
4;0;107;1;0;0;0;1;4;18;educational-resources;MIT License;;
0;0;31;1;0;0;0;1;0;0;university-course;GNU General Public License v3.0;;
2;2;11;1;0;0;0;1;2;2;course-materials;Creative Commons Attribution Share Alike 4.0 International;;
1;0;4;1;0;0;0;1;1;0;teaching-materials;No License;;
1;0;132;1;0;0;0;2;1;0;lecture;No License;;
14;11;198;1;2;2;0;1;14;2;mooc;No License;;
1;0;44;2;1;0;1;1;1;0;university-coursework;GNU General Public License v3.0;;
0;0;2;1;0;0;0;1;0;0;mooc;No License;;
0;0;39;1;0;0;0;1;0;0;university-course university-coursework;No License;;
30;24;157;1;24;0;24;13;30;0;workshop-materials;Other;No License description;
1;3;13;1;0;0;0;1;1;0;workshop-materials;Apache License 2.0;;
101;229;352;1;3;1;2;1;101;1;mooc;MIT License;;
17;23;13;1;1;0;1;2;17;0;online-learning;No License;;
0;0;1;1;0;0;0;0;0;0;university-course;No License;;
1;0;172;1;0;0;0;1;1;0;course-materials;No License;;
25;8;121;1;15;0;15;8;25;42;oer;Creative Commons Zero v1.0 Universal;;
0;0;3;1;0;0;0;1;0;0;presentation-materials;GNU General Public License v3.0;;
4;2;19;1;2;0;2;2;4;0;textbook;No License;;
1;1;9;1;0;0;0;1;1;0;teaching-materials;Other;No License description;
22;5;6;1;0;0;0;1;22;0;workshop-materials;No License;;
0;0;34;1;0;0;0;1;0;0;training-materials;No License;;
0;0;39;1;0;0;0;1;0;0;teaching-materials;MIT License;;
2;0;41;1;0;0;0;1;2;0;teaching-materials;MIT License;;
0;0;31;1;0;0;0;1;0;0;teaching-materials;MIT License;;
1;22;223;1;92;12;80;24;1;12;university-course;No License;;
0;0;9;1;0;0;0;1;0;0;university-course;MIT License;;
